,u,i,ts,label,idx
0,1,2,1133377860,1,1
1,3,4,1133379300,1,2
2,5,6,1133434440,1,3
3,6,7,1133441700,1,4
4,8,9,1133391000,1,5
5,10,11,1133390520,1,6
6,12,13,1133390940,1,7
7,14,15,1133385360,1,8
8,6,16,1133647260,1,9
9,17,18,1133517660,1,10
10,19,20,1133379900,1,11
11,9,21,1133382060,1,12
12,22,7,1133417640,1,13
13,23,24,1133399760,1,14
14,25,26,1133390340,1,15
15,27,4,1133380680,1,16
16,28,29,1133378580,1,17
17,24,30,1133439420,1,18
18,31,29,1133378280,1,19
19,32,33,1133384700,1,20
20,34,9,1133398860,1,21
21,9,35,1133384520,1,22
22,19,36,1133380320,1,23
23,37,18,1133380800,1,24
24,35,9,1133385960,1,25
25,38,2,1133377680,1,26
26,39,19,1133379960,1,27
27,40,35,1133385720,1,28
28,41,42,1133537160,1,29
29,35,43,1133393460,1,30
30,44,19,1133381640,1,31
31,45,9,1133394120,1,32
32,46,18,1133380260,1,33
33,47,19,1133390760,1,34
34,36,19,1133387040,1,35
35,9,8,1133400360,1,36
36,48,49,1133500380,1,37
37,50,29,1133382000,1,38
38,51,15,1133468940,1,39
39,52,53,1133404020,1,40
40,17,36,1133699520,1,41
41,7,54,1133384640,1,42
42,55,29,1133378940,1,43
43,56,35,1133379780,1,44
44,57,58,1133387100,1,45
45,59,60,1134065820,1,46
46,19,36,1133440080,1,47
47,61,62,1133397720,1,48
48,63,38,1133379300,1,49
49,64,65,1133389560,1,50
50,66,14,1133426340,1,51
51,33,53,1133381520,1,52
52,67,68,1134559740,1,53
53,69,70,1133383320,1,54
54,71,1,1133416860,1,55
55,35,72,1133445660,1,56
56,73,2,1133377680,1,57
57,35,15,1133386620,1,58
58,74,35,1133379480,1,59
59,8,4,1133381280,1,60
60,75,19,1133409600,1,61
61,6,7,1133382960,1,62
62,76,29,1133384940,1,63
63,58,70,1133383020,1,64
64,18,29,1133378940,1,65
65,77,78,1133480820,1,66
66,79,80,1133390400,1,67
67,42,13,1133381940,1,68
68,81,82,1133379360,1,69
69,83,19,1133385360,1,70
70,84,85,1133389260,1,71
71,16,6,1133466540,1,72
72,86,29,1133379180,1,73
73,53,2,1133377680,1,74
74,35,87,1133383260,1,75
75,17,88,1133509800,1,76
76,89,24,1133401980,1,77
77,90,31,1133386560,1,78
78,91,53,1133380740,1,79
79,92,38,1133520780,1,80
80,93,94,1133436840,1,81
81,17,33,1133518200,1,82
82,49,48,1133453760,1,83
83,95,48,1133437740,1,84
84,35,96,1133396160,1,85
85,87,35,1133381280,1,86
86,13,18,1133379300,1,87
87,97,98,1133451720,1,88
88,18,99,1133453940,1,89
89,100,1,1133382840,1,90
90,7,19,1133386380,1,91
91,101,53,1133392320,1,92
92,35,2,1133378280,1,93
93,102,29,1133379480,1,94
94,103,18,1133437560,1,95
95,9,61,1133399460,1,96
96,17,18,1133682720,1,97
97,21,9,1133380440,1,98
98,104,78,1133416200,1,99
99,105,35,1133379720,1,100
