,u,i,ts,label,idx
0,12,44,0,1,1
1,12,44,2042,1,2
2,12,44,2352,1,3
3,12,44,2779,1,4
4,12,44,3089,1,5
5,56,68,4115,1,6
6,56,65,4115,1,7
7,56,44,4115,1,8
8,56,31,4115,1,9
9,56,25,4115,1,10
10,56,24,4115,1,11
11,56,12,4115,1,12
12,1,65,4115,1,13
13,1,44,4115,1,14
14,1,31,4115,1,15
15,1,25,4115,1,16
16,1,24,4115,1,17
17,1,12,4115,1,18
18,1,68,4115,1,19
19,56,24,4425,1,20
20,56,68,4425,1,21
21,56,65,4425,1,22
22,56,44,4425,1,23
23,56,31,4425,1,24
24,56,12,4425,1,25
25,1,44,4425,1,26
26,1,65,4425,1,27
27,1,31,4425,1,28
28,1,24,4425,1,29
29,1,12,4425,1,30
30,1,68,4425,1,31
31,56,68,4735,1,32
32,56,65,4735,1,33
33,56,44,4735,1,34
34,56,31,4735,1,35
35,56,24,4735,1,36
36,1,68,4735,1,37
37,1,44,4735,1,38
38,1,31,4735,1,39
39,1,24,4735,1,40
40,1,65,4735,1,41
41,56,44,5045,1,42
42,56,68,5045,1,43
43,56,65,5045,1,44
44,56,31,5045,1,45
45,1,44,5045,1,46
46,1,65,5045,1,47
47,1,68,5045,1,48
48,1,31,5045,1,49
49,56,68,5358,1,50
50,56,65,5358,1,51
51,56,51,5358,1,52
52,56,44,5358,1,53
53,56,31,5358,1,54
54,56,26,5358,1,55
55,56,24,5358,1,56
56,56,25,5358,1,57
57,1,65,5358,1,58
58,1,51,5358,1,59
59,1,44,5358,1,60
60,1,31,5358,1,61
61,1,26,5358,1,62
62,1,25,5358,1,63
63,1,24,5358,1,64
64,1,68,5358,1,65
65,56,24,5668,1,66
66,56,68,5668,1,67
67,56,65,5668,1,68
68,56,51,5668,1,69
69,56,31,5668,1,70
70,56,26,5668,1,71
71,56,12,5668,1,72
72,1,12,5668,1,73
73,1,65,5668,1,74
74,1,51,5668,1,75
75,1,31,5668,1,76
76,1,26,5668,1,77
77,1,24,5668,1,78
78,1,68,5668,1,79
79,56,26,5978,1,80
80,56,68,5978,1,81
81,56,65,5978,1,82
82,56,51,5978,1,83
83,56,44,5978,1,84
84,56,31,5978,1,85
85,56,24,5978,1,86
86,1,26,5978,1,87
87,1,65,5978,1,88
88,1,51,5978,1,89
89,1,44,5978,1,90
90,1,31,5978,1,91
91,1,68,5978,1,92
92,1,24,5978,1,93
93,56,68,6289,1,94
94,56,66,6289,1,95
95,56,65,6289,1,96
96,56,51,6289,1,97
97,56,44,6289,1,98
98,56,31,6289,1,99
99,56,26,6289,1,100
