,u,i,ts,label,idx
0,18561,18393,1231431607,1,1
1,1301,23684,1233665563,1,2
2,315567,23684,1234078006,1,3
3,16103,23684,1234593847,1,4
4,40820,18393,1235692333,1,5
5,23684,23684,1241485283,1,6
6,24833,17828,1248320755,1,7
7,1909,17828,1248321513,1,8
8,17828,1909,1248323966,1,9
9,106627,17828,1248325461,1,10
10,17828,1909,1248325547,1,11
11,17828,106627,1248325980,1,12
12,16814,17828,1248330032,1,13
13,1909,1909,1248341408,1,14
14,31439,1471,1261827751,1,15
15,1471,31439,1261828210,1,16
16,17725,17828,1263029493,1,17
17,2369,33096,1272875403,1,18
18,57149,33096,1273022326,1,19
19,39668,33096,1279489384,1,20
20,4,5,1280369730,1,21
21,4,27,1280370413,1,22
22,10,27,1280370452,1,23
23,42,10,1280370637,1,24
24,4,10,1280370641,1,25
25,41,43,1280370665,1,26
26,5,63,1280370696,1,27
27,50,27,1280370715,1,28
28,4,20,1280370746,1,29
29,66,56,1280370782,1,30
30,5,50,1280370789,1,31
31,9,39,1280370950,1,32
32,77,39,1280370969,1,33
33,10,4,1280371019,1,34
34,69,56,1280371076,1,35
35,10,4,1280371119,1,36
36,50,5,1280371145,1,37
37,4,50,1280371221,1,38
38,75,50,1280371238,1,39
39,12,77,1280371283,1,40
40,4,68,1280371284,1,41
41,63,4,1280371288,1,42
42,5,82,1280371306,1,43
43,24,68,1280371319,1,44
44,86,27,1280371333,1,45
45,66,35,1280371523,1,46
46,96,10,1280371574,1,47
47,75,56,1280371607,1,48
48,35,45,1280371665,1,49
49,5,91,1280371687,1,50
50,10,10,1280371703,1,51
51,56,91,1280371707,1,52
52,91,91,1280371758,1,53
53,5,5,1280371761,1,54
54,103,50,1280371770,1,55
55,86,42,1280371773,1,56
56,41,56,1280371814,1,57
57,5,88,1280371828,1,58
58,5,86,1280371848,1,59
59,4,50,1280371857,1,60
60,104,50,1280371860,1,61
61,35,56,1280371877,1,62
62,4,88,1280371905,1,63
63,66,42,1280371945,1,64
64,35,56,1280371954,1,65
65,66,86,1280371964,1,66
66,12,24,1280371967,1,67
67,4,4,1280371984,1,68
68,91,82,1280372045,1,69
69,86,45,1280372098,1,70
70,35,66,1280372117,1,71
71,4,50,1280372170,1,72
72,27,4,1280372174,1,73
73,45,86,1280372197,1,74
74,9,76,1280372209,1,75
75,35,88,1280372265,1,76
76,86,86,1280372296,1,77
77,24,12,1280372298,1,78
78,50,103,1280372309,1,79
79,66,68,1280372336,1,80
80,4,76,1280372387,1,81
81,56,41,1280372433,1,82
82,46,10,1280372462,1,83
83,66,66,1280372467,1,84
84,56,56,1280372562,1,85
85,10,82,1280372575,1,86
86,103,20,1280372581,1,87
87,5,104,1280372678,1,88
88,10,46,1280372706,1,89
89,9,109,1280372771,1,90
90,104,42,1280372777,1,91
91,27,104,1280372805,1,92
92,66,104,1280372846,1,93
93,12,9,1280372854,1,94
94,4,27,1280372861,1,95
95,35,91,1280372874,1,96
96,5,56,1280372881,1,97
97,66,104,1280372883,1,98
98,24,50,1280372885,1,99
99,116,27,1280372908,1,100
